accommodation_type;author;author_type;deal_type;description;district;finish_type;floor;floors_count;heating_type;house_material_type;house_number;kitchen_meters;living_meters;location;object_type;phone;price;residential_complex;rooms_count;street;total_meters;underground;url;year_of_construction
flat;СМСС;developer;sale;"Продаётся 5-комнатная квартира в строящемся доме (Секция 1.3), срок сдачи: II-кв. 2028, общей площадью 111.2 кв.м., на 23 этаже. Новый жилой комплекс ""Паскаль"" от Группы компаний ""Сибмонтажспецстрой"" расположен в Октябрьском районе Новосибирска на ул. 4-я Кирпичная Горка.";Октябрьский;Черновая;23;23;-1;-1;;-1;-1;Новосибирск;-1;+79942525223;20238400;Паскаль;5;Закаменский мкр;111.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325989659/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2028
flat;"Компания ""НАЗАРОВ""";real_estate_agent;sale;"Забудьте о стандартных планировках! В ЖК Greenwood мы поднимаем планку. 
Эксклюзивный вариант, квартира 176 кв.м - декларация вашего стиля и успеха. 

Планировочное решение включает в себя:
Холл, кухню-гостиную с выходом на террасу 36кв.м., мастер-спальню со своими гардеробной  санузлом, три детских спальни, детский санузел, гостевой санузел. 
Сердце квартиры  - кухня- гостиная.   Место , где кулинарные шедевры будут рождаться на глазах у гостей и членов семьи, а уютные диваны манить к долгим разговорам. Высокие потолки  здесь парят (в коньке 6,0м) , а окна заливают пространство солнечным нектаром.И вот она - жемчужина: ваша роскошная приватная терраса 36 кв.м. - естественное продолжение гостиной.  Терраса  - это жизненная необходимость, исполненная здесь с размахом. Здесь утренний кофе обретает вкус свободы, а вечерние беседы проходят под аккомпанемент заката. Это пространство дышит возможностями: место для большой семьи, для вдохновляющих вечеров, для тишины и творчества. 




В квартире проведены все подготовительные работы для чистовой отделки по согласованному дизайн-проекту. Для покупателей дизайн - проект будет приятным бонусом, как и продолжение работы с  дизайнером.  Проект включает в себя  визуализации, чертежи, развертки по стенам, подбор мебели, чертежи корпусной мебели на заказ




Greenwood  - это статус.

Ваш эксклюзивный шанс поселиться в гармонии с природой и городским ритмом одновременно. 

Ваша жизнь масштабом 176 кв.м. начинается здесь.

В стоимость лота входят два машиноместа на подземной парковке.";Заельцовский;-1;2;2;-1;-1;2/3;20 м²;110 м²;Новосибирск;-1;+79137528690;44000000;;5;Дачное шоссе;176.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/319300206/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;-1
flat;ID 89451841;unknown;sale;"Двухуровневая квартира в Тихом центре с шикарным видом на театр оперы и балета. Уникальное предложение! 
Квартира общей площадью 98,2 кв. м, расположена на 9 и 10 этаже 10-этажного кирпичного дома. Современная планировка: просторная кухня-гостиная на первом этаже, гостевой с/у с душевой; на втором этаже три комнаты, гардеробная, с/у с ванной, прачечная. 
Выполнен полный демонтаж, заменена вся электрика и сантехника, стены оштукатурены. Можно приступать к чистовой отделке. 
Отличное месторасположение! До станции метро ""Площадь Ленина"" 7-10 минут. Район благоустроен и идеально подходит для семейного проживания. По прописке дом относится к Гимназии 10. В шаговой доступности театры, рестораны, клиники и магазины, все необходимые объекты инфраструктуры рядом, что делает жизнь здесь удобной и комфортной.
Возможна продажа квартиры в ипотеку, желательно Альфа банк. Все документы готовы к сделке. Быстрый выход на сделку.
Звоните прямо сейчас, чтобы узнать подробности и договориться о встрече.";Железнодорожный;-1;10;10;-1;-1;10;38 м²;-1;Новосибирск;-1;+79139325600;14890000;;5; Революции;100.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/325645108/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;1994
flat;Новый Мир;developer;sale;"ОСКАР  уютные резиденции для новых историй.
Большая премьера от компании ""Новый мир"" - создателя дома ""Нобель"" (победителя Urban Awards 2025 и 2024, финалиста Proestate@Toby Awards 2023). 


Беспроцентная рассрочка на квартиры в ""Оскаре"" на 2 года.
Ежемесячный платеж от 70 000 рублей.

Успейте зафиксировать условия!


Жилой комплекс ОСКАР создает компания ""Новый мир"" — один из крупнейших девелоперов Сибири с 20-летней успешной историей работы в строительной отрасли и опытом реализации масштабных проектов — ЖК ""Лев Толстой"", ""Дом на Немировича"", ЖК ""История"", квартал ""Беринг"", дом ""Нобель"". Все проекты компании становятся победителями и финалистами отраслевых профессиональных премий. Компания является продуктовым лидером и входит в ТОП-3 в регионе по потребительским свойствам проектов, по версии ЕРЗ.

Концепция 
Представьте, что вы живете в мире, где не нужно выбирать между красивым, удобным и оптимальным. Станьте главным режиссером своей жизни, и прочувствуйте СВОЙ НОВЫЙ СЦЕНАРИЙ. В Сибири много талантливых людей с уникальной историей успеха, и их ждет ОСКАР.
Жилой комплекс из трех роскошных башен от 20 до 24 этажей объединен единым концептом с декоративной колоннадой. ОСКАР выполнен в стилистике ар-деко  роскошном архитектурном стиле, призванном создать новые истории о жизни в столице Сибири. Что это будет  блокбастер о герое-одиночке или теплая семейная сага  решать только вам. 

Локация
Центр  все рядом! Заельцовский район  самый зеленый район Новосибирска. Район парков, аллей, свежего воздуха. ЖК ""ОСКАР"" продолжает нобелевскую плеяду жилых комплексов на главной улице Новосибирска - Красном проспекте. Именно здесь на улице успешных и амбициозных развиваются новые сюжеты. ""Новый мир"" создает в этой локации целый квартал, в котором близость станции метро сочетается с уютной тишиной еловой аллеи. В основу проекта заложены вечные ценности: интеллигентность, уважение к культуре. В пешей доступности от ОСКАРА вузы, театры, банки, детские сады, рестораны и большие магазины. 

Главные преимущества
Высотные башни дома ОСКАР дарят окрыляющее чувство успеха и вдохновения. ОСКАР  дом, в котором все преимущества собраны в одном доме: центр Новосибирска, роскошная архитектура, новые технологии, ассистент-сервис, элегантные лобби. 

Дом новых возможностей!
 • Кинематографичная архитектура - элегантный и уютный одновременно
 • Собственное мобильное приложение с заказом услуг — еды, такси, клининга, бронирования билетов, мероприятий с кейтерингом и т. д.
 • Два скоростных лифта в каждой башне
 • Консьерж-сервис
 • Функциональные планировки
 • Кофейня, кондитерская и spa-салон на первом этаже формируют уютный микромир с размеренным ритмом жизни и внимательным сервисом.

Планировочные решения
 • Функциональные площади, где продуман каждый квадратный метр. 
 • Планировочные варианты с мастер-спальней, кухней-гостиной, двумя ванными, гардеробными.
 • Обилие естественного света благодаря увеличенной площади остекления. 
 • Надежные авторские двери, не требующие зам";Заельцовский;Предчистовая;13;20;-1;-1;;4,4 м²;88,1 м²;Новосибирск;-1;+79587500021;35500000;Оскар ЖК;5;;166.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324818219/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2026
flat;РайоныКварталы;real_estate_agent;sale;"Арт. 111917520 
Эксклюзивное предложение! Вашему вниманию предлагается к продаже Двухуровневая квартира в Кирпичном доме! Стены толщиной 1 метр! Самая удобная локация Левого берега! Выполнен качественный Дизайнерский ремонт, только из материалов иностранного производства. Качественные дубовые межкомнатные двери производства Италия, -высококачественное долговечное натуральное напольное покрытие Инженерная доска ,дуб -настенная и напольная плитка производства Испания -все подоконники , рабочая письменная зона в детской комнате ,кухонная столешница с кухонным фартуком -белоснежный глянцевый искусственный камень -лестница натуральное дерево дуб и нержавейка -освещение в основном светодиодные светильники В квартире остается в подарок кухня и вся встроенная техника производства Gorenje А именно - индукционная варочная панель; вытяжная панель; духовой шкаф; микроволновая песь и А также два встроенных холодильника с морозильной камерой так же производства Gorenje. Из мебели в гостиной в подарок тумба для ТВ и шкаф-бар ! Из мебели в Холле вам остается бонусом удобный большой шкаф гардероб и вместительная угловая тумба обувница! Детская комната остается полностью ! В спальне также наличие гардеробной вам в подарок ! А также квартира оснащена кондиционерами General пр-ва Япония и для вашего удобства теплый пол и водонагреватель Ariston 50 ТВ и интернет электронный город , Ростелеком . Есть стационарный телефон. Территория дома - приватная! Огорожена, есть наземная охраняемая парковка! Юридическая составляющая Вашей будущей сделки: -Обременений нет - Два взрослых собственника (совместная) - Полная стоимость в договоре купли-продажи - Абсолютно прозрачная сделка Чистая продажа! Ключи в день полного расчета! Одобрим ипотечное решение, с преференциями от банков-партнёров БЕСПЛАТНО! Сопровождение сделки, со знаком качества. дополнительно взимается комиссия с покупателя";Ленинский;-1;5;6;-1;-1;42;34,8 м²;55 м²;Новосибирск;-1;+79137519952;17700000;;5;Вертковская ;162.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320545644/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;-1
flat;1Е;real_estate_agent;sale;"Эксклюзивное предложение. Таких больше нет!

Зал с вторым светом потолками 6 метров и большим панорамным окном высотой 5 метров!

В зале предусмотрен камин (такого вы не найдете не в одной квартире)  Стеклянный пол между вторым и первым этажом.  Кухня, совмещенная с просторной столовой.

Панорамные окна в пол в просторных спальнях во всю стену.  В каждой спальне гардеробные.  Панорамные окна огромной ванной в основной спальне,  собственная сауна и большая зона с джакузи с стеклянными стенами.

Спортзал с комнатой отдыха и кинотеатром.  Кабинет с выходом на крышу, где возможно организовать только вашу зону отдыха или барбекю.  Гардеробная и прачечная.

Тех этаж над квартирой 150 м2,  который возможно использовать для хранения вещей.

В доме 4х уровненный подземный паркинг.

Подъезд есть сверху с Кирова и Иподромской магистрали.  В пешей доступности парк, Бахетле, X-Fit,   м Октябрьская  - это самое динамично строящиеся место с комплексами бизнес-класса Декабристов, Флотилия, Ричмонд, Римский квартал, Статус, Облака. В этой локации цены будут только расти!

Сейчас средняя цена в стройке 300 тыс руб за м2. Отдельно возможно приобрести парковочное место, спустились на лифте и вы у машины.";Октябрьский;-1;26;26;-1;-1;11;17 м²;134 м²;Новосибирск;-1;+79831321787;32500000;Эльбрус;5; Шевченко;300.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/326141424/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2017
flat;Брусника;developer;sale;"5-комн. квартира с предчистовой отделкой в Квартал На Декабристов на 23 этаже. Общая площадь: 479 кв.м., жилая: 100 кв.м., площадь просторной кухни-гостиной: 50 кв.м. Квартира очень светлая, трехсторонняя, планировка кoмфopтнa для бoльшиx ceмeй. В квартире два балкона, три совмещенных санузла. Наличие в квартире террасы открывает возможность для обустройства дополнительной площади. Высота потолков 3.15 м.
  
Квартира находится в корпусе 6. Дом монолитный, одноподъездный, высотой 24 этажа. На этаже 6 квартир. В подъезде 2 пассажирских и 1 грузовой лифт. Строительство окончено, дом сдан в 3 квартале 2024 года. Оформление сделки по договору купли-продажи.
  
Квартира с кухней-гостиной и четырьмя спальнями в квартале ""На Декабристов"". Особенности планировки: пентхаус, разнесённые спальни, свободная планировка, терраса на крыше.
 квартиры в нашей базе: ДК-ГП6-1-1.23.1.
  
Квартал ""На Декабристов"" находится в деловой части Новосибирска в границах улиц Сакко и Ванцетти, 9 Ноября и Зыряновской. Вокруг квартала расположены административные здания, офисы банков и крупных компаний, высшие учебные заведения. Район с удобной транспортной инфраструктурой: станции метро ""Октябрьская"" и ""Речной вокзал"", остановка электропоезда и несколько центральных городских автомагистралей, по которым можно добраться до любого района Новосибирска. В 500 метрах — городская набережная и два парка, где можно гулять или делать пробежки. В районе уже сформированная инфраструктура. Рядом расположены крупные торговые центры, три детских сада, две школы и медицинские учреждения. На первых этажах расположены полезные сервисы: салон красоты, кондитерская, кофейня, продуктовый магазин, детский центр и другие.
  
""На Декабристов"" состоит из двух кварталов переменной этажности и двух башен в тихом центре Новосибирска. Дворы кварталов закрыты от автомобилей и устроены на кровле подземного паркинга. Это частное пространство только для жителей: здесь расположены детские площадки, места для отдыха, площадка для баскетбола и уличные тренажёры. Башни выступают архитектурными доминантами и открывают виды на город и реку.
  
Первый этап проекта из двух кварталов переменной высотности и башни в 1617 этажей разработан голландским архитектурным бюро. Застройка выполнена в едином стиле, территория объединена аллеей. Продолжение ""На Декабристов"" — башня в стиле неоклассики с городским садом и видом на реку. Проект немецкого бюро.
  
Если Вы - риелтор, пожалуйста, за более подробной информацией обратитесь на горячую линию на нашем официальном сайте. #2Sal19";Октябрьский;Предчистовая;23;24;-1;Монолитно-кирпичный, кирпичный;21;50 м²;100 м²;Новосибирск;-1;+79587376686;155000000;На Декабристов;5; Сакко и Ванцетти;479.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/314115172/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2024
flat;ДОМАШНИЙ ОЧАГ;real_estate_agent;sale;"Просторная квартира у метро ""Гагаринская"". Дом классической кирпичной кладки - теплый, добротный, надежный. Идеальное местоположение для комфортного проживания. Всегда в наличии парковочные места для вашего автомобиля. Огромное количество магазинов, торговых центров, мест отыха, спортивных объектов. Школа, садик - в пяти минутах неторопливой ходьбы. В собственности более пяти лет. Материнский капитал не использовался. С удовольствием проведем экскурсию по знакомству с квартирой и окрестностями дома в удобное для вас время. Эта квартира обязательно вам понравится и станет вашей.";Заельцовский;-1;6;10;-1;-1;99;12,5 м²;-1;Новосибирск;-1;+79833018279;18000000;;5;Красный проспект;125.7;Гагаринская;https://novosibirsk.cian.ru/sale/flat/326940216/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2002
flat;Rialtor Group;real_estate_agent;sale;"Арт. 59699074 В продаже:

Эксклюзивный вариант, в элитном Клубном доме, в самом сердце Центрального района. 
В непосредственной близости с Приемной Президента РОССИИ.
Ремонт в квартире выполнен из высококачественных материалов Франции и Италии, по индивидуальному дизайн-проекту, Архитектурной группой ""АСНОВА"".

Освещение выполнено согласно общему стилю объекта, люстры и бра от ""Swarovsky"".
Вся мебель в квартире от ведущих Европейских брендов (GRANGE, BIZZOTTO)
В квартире 5 уровней этажей, для удобства перемещения имеется изысканная и удобная лестница, а также свой собственный ЛИФТ.

В этом уникальном объекте, есть всё для комфортного пребывания:
Три спальни, кухня-столовая, гостиная, кабинет, спортзал, прачечная, гардеробные, на каждом этаже свой санузел, вместительный гараж на первом этаже.
Объект полностью оснащен мебелью и техникой, готов для Вашего роскошного проживания.

Представьте себе уникальную возможность стать обладателем непревзойденного роскошного жилища в центре Новосибирска. Пятиэтажная квартира, олицетворение изысканности и стиля, воплощает в себе все, что только можно пожелать для комфортного проживания.

Этот жемчужина недвижимости поражает своей роскошью: дорогой ремонт, выполненный мастерами высочайшего класса, итальянская и французская мебель, создающая атмосферу изысканности и уюта. Лифт, который мгновенно доставит вас на любой этаж, делает жизнь в этом доме еще более комфортной и удобной.

Это не просто квартира - это произведение искусства, которое предлагается Вам, как самый дорогой и эксклюзивный вариант. Здесь каждая деталь продумана до мельчайших нюансов, чтобы создать неповторимую атмосферу роскоши и изыска.

Не упустите возможность стать обладателем этого уникального варианта, которое станет Вашим оазисом роскоши и комфорта в самом центре Новосибирска.

Все подробности по телефону.
Дополнительно взымается комиссия с покупателя.
Приглашаем записаться на просмотр.";Центральный;-1;2;5;-1;-1;56А;29 м²;286 м²;Новосибирск;-1;+79137251233;125000000;;5;Красный проспект;442.0;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/298482919/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;-1
flat;Сибирские Жилые Кварталы;developer;sale;В продаже 5 квартира  186 в эко-квартале. Flora&Fauna - эко-квартал премиум-класса в Заельцовском бору на берегу Оби в 15 минутах от площади Калинина. Пространство для комфортной жизни в единстве с природой.;Заельцовский;Предчистовая;8;8;-1;Монолитно-кирпичный;;10,1 м²;-1;Новосибирск;-1;+79586104003;100000000;Флора и Фауна ЖК;5;;278.63;Сибирская;https://novosibirsk.cian.ru/sale/flat/323745224/?mlSearchSessionGuid=a8e2a12ac556d0c60a8da7b319700e60;2023
